SMILES,pIC50,activity
CCCc1nnc(C[C@H](C[C@H](O)CN2CCN(C(C)(C)c3ncc(-c4ccc(F)cc4)o3)C[C@H]2C(=O)NCC(F)(F)F)C(=O)N[C@H]2CCOC[C@H]2O)o1,11.00,1
Cc1nnc(C[C@H](C[C@H](O)CN2CCN(C(C)(C)c3ncc(-c4ccc(Cl)cc4)o3)C[C@H]2C(=O)NCC(F)(F)F)C(=O)N[C@H]2CCOC[C@H]2O)o1,11.00,1
O=C(N[C@H]1CCOC[C@H]1O)[C@H](Cc1nnc(-c2ccccc2)o1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccc(Cl)cc3)o2)C[C@H]1C(=O)NCC(F)(F)F,11.00,1
O=C(N[C@H]1CCOC[C@H]1O)[C@H](Cc1nnco1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccc(Cl)cc3)o2)C[C@H]1C(=O)NCC(F)(F)F,11.00,1
CC(C)(C)NC(=O)[C@@H]1CN(S(=O)(=O)c2cccc3cccnc23)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1c2ccccc2C[C@H]1O,10.89,1
CC(C)(C)NC(=O)[C@@H]1CN(S(=O)(=O)c2cccc3cccnc23)CCN1C[C@@H](O)C[C@@H](Cc1ccncc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,10.82,1
CC(C)(c1ncc(-c2ccc(Cl)cc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2cc3ccncc3o2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,10.70,1
CC(C)(c1ncc(-c2ccc(Cl)cc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2cc3cnccc3s2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,10.70,1
CC(C)(c1ncc(-c2ccc(F)cc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2nnc(-c3ccccc3)o2)C(=O)N[C@H]2CCOC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,10.70,1
CC(C)(c1ncc(-c2ccc(F)cc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2nnco2)C(=O)N[C@H]2CCOC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,10.70,1
CC(C)(c1ncc(-c2cnccc2Cl)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,10.70,1
COc1cncc(-c2cnc(C(C)(C)N3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@H]4c5ccccc5OC[C@H]4O)[C@H](C(=O)NCC(F)(F)F)C3)o2)c1,10.70,1
Cc1nnc(C[C@H](C[C@H](O)CN2CCN(C(C)(C)c3ncc(-c4ccc(F)cc4)o3)C[C@H]2C(=O)NCC(F)(F)F)C(=O)N[C@H]2CCOC[C@H]2O)o1,10.70,1
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2cc3cccc(Cl)c3o2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,10.70,1
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccc(-c3ccccc3)o2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,10.70,1
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccn(-c3cc(Cl)c(Cl)c(Cl)c3)c2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,10.70,1
O=C(NCC(F)(F)F)[C@@H]1CN(Cc2ccn(-c3ccc(Cl)c(Cl)c3)c2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,10.70,1
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cc(Br)cs2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,10.52,1
CC(C)(C)NC(=O)[C@@H]1CN(S(=O)(=O)c2cccc3cccnc23)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,10.52,1
CC[C@H](C)[C@H](NC(=O)[C@H](C/C=C/c1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1nc2ccccc2[nH]1,10.52,1
